Stage,Phase,#,From,To,Trigger,Related Status Changes
Installation,,1.1,Site Visit Complete,Select Preferred Install Dates,Site visit complete AND (no change order OR change order complete),Material ordering begins (if not already)
Installation,,1.2,Select Preferred Install Dates,Awaiting Contractor Confirmation,HO submits up to 3 preferred install dates,—
Installation,,1.3a,Awaiting Contractor Confirmation,Confirm Install Date,CO confirms availability for one of HO proposed dates,—
Installation,,1.3b,Awaiting Contractor Confirmation,Contractor to Contact Directly,CO declines all dates OR no response within 24h,—
Installation,,1.4,Confirm Install Date,Install Date Confirmed,HO confirms the date proposed by CO,—
Installation,,1.5,Confirm Install Date,Contractor to Contact Directly,HO declines proposed date OR no response within 48h,—
Installation,,1.6,Contractor to Contact Directly,Install Date Confirmed,CO contacts HO directly and mutually agrees on date,—
Installation,,1.7,Contractor to Contact Directly,Unresponsive,CO unable to reach HO after 3+ attempts over 48+ hours,—
Installation,,1.8,Install Date Confirmed,Installation Ready,Install date confirmed AND materials ready (Material Ready),Verify materials available for install
Installation,,2.1,Installation Ready,Installation Complete,CO completes installation AND submits QC photos (legible),—
Installation,,2.2,Installation Complete,Approve Installation,CO marks complete and QC photos pass AI verification,—
Installation,,3.1,Approve Installation,Installation Approved,HO reviews QC photos and approves completed work,Triggers Payment Phase 2: payment_status = Processing
Installation,,3.2,Approve Installation,Declined,HO reviews and declines (reports issue),Case status = Created; Payment Phase 2 = Paused
Installation,,3.3,Install Date Confirmed,Unresponsive,Install date passed + 2-day grace period AND not complete,—
Material Ordering,,1,Install Date Confirmed,Order Pending,Install date confirmed; order submitted to Sibi,None
Material Ordering,,2,Order Pending,Order Approved,Sibi confirms receipt and approves order,None
Material Ordering,,3,Order Approved,Processing,Sibi begins material preparation and packing,None
Material Ordering,,4,Processing,Order Confirmed,Sibi confirms final delivery date and provides tracking,None
Material Ordering,,5,Order Confirmed,At Distribution Center,Materials arrive at regional distribution center,None
Material Ordering,,6,At Distribution Center,In Transit,Materials in transit to job site or CO pickup location,None
Material Ordering,,7,In Transit,Ready for Pickup,Materials ready for CO pickup at distribution center,None
Material Ordering,,8,Ready for Pickup,Material Ready,All materials received and verified at job site,Install can proceed
Material Ordering,,9,In Transit,Material Ready,Materials delivered directly to job site (bypass pickup),Install can proceed
Material Ordering,,10,Order Pending,Order Cancelled,Order cancelled by Ops,Installation halted
Material Ordering,,11,Order Approved,Order Cancelled,Order cancelled after supplier approval,Installation halted
Material Ordering,,12,Processing,Order Cancelled,Order cancelled during supplier preparation,Installation halted
Material Ordering,,13,Processing,Order Delayed,Sibi reports delay; original delivery date will be missed,Material Delayed flag (advisory)
Material Ordering,,14,Order Delayed,Order Confirmed,Sibi resolves delay; confirms new delivery date,Material Delayed flag cleared
Material Ordering,,15,Thermostat Ordered,Thermostat In Transit,Thermostat shipped from supplier; tracking available,None (parallel track)
Material Ordering,,16,Thermostat In Transit,Thermostat Delivered,Thermostat delivered to homeowner,None (parallel track)
Material Ordering,,17,Thermostat Ordered,Thermostat Delivered,Thermostat delivered without In Transit (direct shipping),None (parallel track)
Case,,1,(Entry),Created,HO submits case via form OR calls support,Payment Phase 2 → Payment Paused (if payment pending)
Case,,2,Created,In Progress,Case assigned to CO AND CO begins investigation,None
Case,,3,In Progress,In Progress (3-day reminder),3 days elapsed without resolution update,None
Case,,4,In Progress,In Progress (5-day reminder),5 days elapsed since creation,None
Case,,5,In Progress,In Progress (7-day escalation),7+ days without resolution,None
Case,,6,In Progress,Resolved,CO completes resolution AND HO confirms satisfaction,Payment Phase 2 → Processing (if was Payment Paused)
Case,,7,Resolved,(Exit),Case archived and closed,Job resumes payment flow
